team,log_attack,log_defence,matches_played,log_attack_shrunk,log_defence_shrunk,attack_shrunk,defence_shrunk,net_raw,net_shrunk
Israel,1.022931236900992,0.2268313434565517,176,0.6523043376311368,0.14464607408823588,1.9199599714728446,1.1556304903053487,0.7960998934444403,0.507658263542901
Iceland,0.9665886826836928,0.27623561124653806,186,0.628620959688063,0.179649733188308,1.8750230631400076,1.1967980910459604,0.6903530714371547,0.44897122649975496
Saint Vincent and the Grenadines,-0.0470105547094383,-1.2936810582489866,56,-0.016874945975060205,-0.46439832860220026,0.9832666383975386,0.6285131498343076,1.2466705035395482,0.44752338262714003
Bolivia,0.7689685267638773,0.12359685718343331,187,0.5010355888378544,0.08053175015087814,1.6504295524308747,1.0838632589179524,0.645371669580444,0.4205038386869762
Norway,1.4360769204581918,0.8288379827628254,191,0.9425800388286384,0.5440139337034352,2.566594797508137,1.7229086423417066,0.6072389376953664,0.3985661051252032
Germany,1.5295827722798112,1.0070619187152865,240,1.0797057789375701,0.7108672367402022,2.943813291761609,2.0357559756986277,0.5225208535645247,0.3688385421973679
Turkey,1.1864334645751575,0.6804556550007792,217,0.8121645467016667,0.46580087424343564,2.252778958315665,1.5932897027410853,0.5059778095743783,0.3463636724582311
Qatar,0.7367558518105085,0.15357838355839973,144,0.43480713996857534,0.09063642308364574,1.5446651260578361,1.0948708631129878,0.5831774682521088,0.3441707168849296
Sweden,1.119952402389643,0.6236715258736629,220,0.7699675875541894,0.4287741740381432,2.1596962516127274,1.5353742678735285,0.4962808765159801,0.34119341351604615
Bermuda,-0.026053795871008353,-1.2678689125066382,36,-0.006895861468655503,-0.3356123591929337,0.9931278604250907,0.7149001765920442,1.24181511663563,0.3287164977242782
Netherlands,1.414311858461262,0.976875716831802,239,0.9971110137577013,0.6887117885628339,2.710440082456187,1.991148859654786,0.43743614162946,0.3083992251948674
Venezuela,0.9371065651752514,0.47058005932408875,184,0.6071398150840331,0.30488285533673354,1.8351749454536672,1.3564660909351003,0.4665265058511626,0.3022569597472996
Russia,1.1141980159588016,0.6444369236569225,179,0.7148442449757872,0.41345594743580333,2.0438683147066827,1.512034276942357,0.4697610923018791,0.3013882975399839
Portugal,1.4666113937027998,1.0665939595982672,246,1.042735555903202,0.7583298094253577,2.836967091207866,2.1347078724475055,0.4000174341045326,0.28440574647784445
Poland,1.0103423126258337,0.584576235132925,201,0.6746807452804376,0.390364861334611,1.9634060492528742,1.4775197853888942,0.42576607749290873,0.28431588394582663
Gambia,0.5086128594729157,-0.6606094341558979,32,0.12330084086933678,-0.160147741613551,1.1312246883804153,0.8520179011675143,1.1692222936288137,0.2834485824828878
Switzerland,1.2678190900410022,0.8747621907163696,206,0.8534994511113254,0.5888921937502357,2.347848674270165,1.801991052306704,0.3930568993246326,0.2646072573610897
Armenia,0.3758276905612646,-0.025451385118942953,180,0.24160387068802422,-0.01636160471932047,1.2732897055266943,0.983771519305433,0.40127907568020754,0.2579654754073447
Tonga,-1.3497000510165271,-2.848308233260305,20,-0.22494917940592826,-0.4747180388767175,0.7985568008591848,0.6220604285969934,1.498608182243778,0.24976885947078922
Guatemala,0.3851597506881155,-0.16363384862095437,83,0.1746904852389767,-0.07421644500294651,1.1908775653787458,0.9284707092456177,0.5487935993090698,0.24890693024192323
Saint Kitts and Nevis,-0.4892676059654356,-1.307780479432289,40,-0.13979003390713052,-0.3736515655520825,0.869540790315297,0.6882166684517401,0.8185128734668533,0.233861531644952
Spain,1.658164265155454,1.3332589132849137,253,1.1884296276939066,0.9555651701447117,3.2819233170512074,2.6001396890572877,0.32490535187054026,0.23286445754919494
Georgia,0.893231285330007,0.5461713656491617,180,0.5742204673250728,0.35111016363160397,1.7757457354159334,1.4206438205745169,0.34705991968084526,0.22311030369346885
Singapore,-0.26785246429035076,-0.8784722084605411,57,-0.09724516543268051,-0.31893576995064227,0.9073335320449396,0.7269222380581415,0.6106197441701904,0.22169060451796174
Algeria,0.9064218379365955,0.4073487673982081,78,0.3971966452285034,0.17850114526438332,1.487648440257463,1.1954242523495138,0.4990730705383874,0.21869549996412008
Ukraine,0.901565111511613,0.5867811569163367,202,0.603033947076043,0.3924827605864239,1.8276554070359665,1.4806523394829723,0.3147839545952763,0.21055118648961907
Czech Republic,0.9547221586767102,0.6615465481171581,218,0.6544953776199433,0.4535130424199385,1.9241712924488228,1.5738314217046878,0.2931756105595521,0.20098233520000475
Indonesia,0.2691551039289459,-0.20335443219200527,72,0.11267015682850733,-0.08512511115014175,1.1192626909002497,0.9183973754614813,0.4725095361209512,0.19779526797864908
Iran,0.8766397700150648,0.5797194008523174,180,0.5635544931940386,0.3726767576907755,1.756906326265988,1.4516150405903507,0.29692036916274733,0.1908777355032631
North Macedonia,0.6498740727054166,0.36080023222016816,186,0.4226457238280652,0.23464630487045904,1.525993577027328,1.264461455772948,0.2890738404852485,0.18799941895760616
Mozambique,0.32764156193247396,-0.2586172633024416,46,0.10323021466104763,-0.08148215145145421,1.108746629426628,0.9217491615917247,0.5862588252349156,0.18471236611250186
Congo,0.16106937884617822,-0.3112246417516833,63,0.06225441937992871,-0.12028927871384079,1.0642330718056943,0.8866639066200821,0.4722940205978615,0.1825436980937695
Haiti,0.27614185716243067,-0.23031718884303906,56,0.09912848392766198,-0.08267796522570633,1.1042081634468681,0.9206475800223641,0.5064590460054698,0.1818064491533683
Croatia,1.211382606877335,0.9609847561671658,239,0.8540428983342249,0.6775084269143146,2.349124952875606,1.9689657933668074,0.2503978507101692,0.1765344714199103
Italy,1.1815358295707803,0.9358575120257204,250,0.8439544482408978,0.6684696514469431,2.3255450652753313,1.95124894359244,0.24567831754505987,0.17548479679395468
Scotland,0.998154927337858,0.7314875645671194,191,0.6551467031379726,0.48011726746501654,1.9254249625419957,1.6162639262536025,0.26666736277073866,0.1750294356729561
South Korea,0.895843829882078,0.6273290025693506,175,0.570082798985392,0.399209365271405,1.7684134682129928,1.4906456753757313,0.26851482731272736,0.17087343371398706
Kyrgyzstan,0.3863791508719175,-0.05481315119936056,62,0.14787411633134592,-0.020977872681236756,1.1593669418125678,0.9792406322993511,0.441192302071278,0.1688519890125827
Madagascar,0.537952698869874,-0.009101701530372356,44,0.1643751266798167,-0.0027810754676137754,1.1786563776263967,0.9972227881402729,0.5470544004002463,0.1671562021474305
Dominica,-0.45268229863586323,-1.2122860444618238,28,-0.09902347554832044,-0.26518757222602396,0.9057214454664164,0.76706205694359,0.7596037458259606,0.16616409667770352
Panama,0.48666313968498376,0.17488375058416278,114,0.2592509225033051,0.09316237180651663,1.2959589492970487,1.0976399465804751,0.311779389100821,0.1660885506967885
Malaysia,0.09781360394943882,-0.37822891982690726,53,0.03388379412378699,-0.13102047549559534,1.0344643889025207,0.8771998131062516,0.4760425237763461,0.16490426961938232
Wales,0.8776501967238762,0.6261849688044702,188,0.5729108905406524,0.40875963241402913,1.7734217820556135,1.5049499358235678,0.25146522791940606,0.16415125812662323
Dominican Republic,0.1309685812781877,-0.5266989919729732,33,0.03249671183307779,-0.130684712294046,1.0330304963616803,0.8774943939758391,0.6576675732511609,0.16318142412712378
Bosnia and Herzegovina,0.6605611188416185,0.4125640928762789,177,0.42209176002377485,0.26362398714477026,1.5251484659221688,1.3016386713995234,0.24799702596533962,0.1584677728790046
Grenada,-0.23737979703693962,-0.8805259445068858,31,-0.056173085622335694,-0.20836873495964472,0.9453754908233306,0.8119076027923038,0.6431461474699462,0.15219564933730903
